"metric","variable","9M_edf","9M_p_value","9M_sig_level","14M_edf","14M_p_value","14M_sig_level","37M_edf","37M_p_value","37M_sig_level"
"dolphin_echolocation","EPS_KURT",0.88044924485983,0.00257849615456507,"**",2.16070165445487e-05,0.753397550252813,"",0.00018317258051721,0.511213219305395,""
"dolphin_echolocation","EPS_SKEW",2.89510215231243e-05,0.771014016596369,"",2.81015577341934e-05,0.66466356283689,"",0.000364481323706254,0.408475586810231,""
"dolphin_echolocation","EVNspCount",0.693757029623164,0.0518827734199373,".",0.923559617602598,7.03908373586026e-05,"***",0.89159546865144,0.00167993379038123,"**"
"dolphin_echolocation","EVNspFract",2.94501731519944e-05,0.780344230162606,"",0.735599979935997,0.0308972036770198,"*",0.978905992465039,0,"***"
"dolphin_echolocation","EVNspMean",0.274302073222746,0.236627803434909,"",0.705294142838725,0.0438188282096671,"*",0.804853177650265,0.0206308172428453,"*"
"dolphin_echolocation","EVNtCount",0.772524782203896,0.0326972185436045,"*",2.5575837346301e-05,0.71440270035497,"",0.210190011304641,0.257425586895817,""
"dolphin_echolocation","EVNtFraction",7.85728253042746e-05,0.373882036722648,"",2.53627165813856e-05,0.797199202559262,"",0.803934167279788,0.020290132883267,"*"
"dolphin_echolocation","EVNtMean",3.3747694198562e-05,0.974389794012276,"",1.71187118802821e-05,0.742161058775708,"",0.000201124677633211,0.590496908779352,""
"dolphin_echolocation","HFC",1.54291986037767e-05,0.856587273188822,"",3.01684893982941e-05,0.265458342040188,"",0.939525451603707,1.25442339309334e-05,"***"
"dolphin_echolocation","H_GiniSimpson",2.62019030939468e-05,0.931930319828596,"",2.41623251852165e-05,0.937656401449275,"",0.000102394646208929,0.906427091583368,""
"dolphin_echolocation","H_Havrda",4.19149661984864e-05,0.698339140830121,"",2.9714814187404e-05,0.744775354148565,"",6.21707492169653e-05,0.995858058865566,""
"dolphin_echolocation","H_Renyi",4.06093958687604e-05,0.643521915551523,"",1.99450439470701e-05,0.920396669531214,"",8.31472987062208e-05,0.98568154424436,""
"dolphin_echolocation","H_gamma",4.79170032840864e-05,0.690233011237717,"",0.950057951960762,4.20814123924806e-06,"***",9.03474404293373e-05,0.505421887508968,""
"dolphin_echolocation","H_pairedShannon",4.74564939587614e-05,0.609717333351175,"",1.58401310430667e-05,0.994966142268116,"",0.00131588766351135,0.141947025337426,""
"dolphin_echolocation","Hf",3.52915902645852e-05,0.681672625082863,"",1.96472031997521e-05,0.990256988113266,"",0.527003031984143,0.130821818790122,""
"dolphin_echolocation","Ht",0.956476605991785,6.37345162868286e-07,"***",2.60271089782647e-05,0.905674196145407,"",0.859884567107121,0.00489359564252911,"**"
